,year,song,artists,rank,artist1,artist2,artist3,artist4,lyrics,genre,lyrics_sentiment,sentiment,artist_type
641,2015,Centuries,Fall Out Boy,43,Fall Out Boy,,,,"Some legends are told, some turn to dust or to gold
But you will remember me, remember me for centuries
And just one mistake is all it will take
We'll go down in history, remember me for centuries

Hey ya, oh hey
Hey ya, remember me for centuries

Mummified my teenage dreams
No, it's nothing wrong with me
The kids are all wrong, the story's all off
Heavy metal broke my heart
Come on, come on and let me in
Them bruises on your thighs like my fingerprints
And this is s'posed to match the darkness that you felt
I never meant for you to fix yourself

Some legends are told, some turn to dust or to gold
But you will remember me, remember me for centuries
And just one mistake is all it will take
We'll go down in history, remember me for centuries

Hey ya, oh hey
Hey ya, remember me for centuries

I can't stop 'til the whole world knows my name
'Cause I was only born inside my dreams
Until you die for me, as long as there's a light
My shadow's over you, 'cause I, I am the opposite of amnesia
And you're a cherry blossom, you're about to bloom
You look so pretty, but you're gone so soon

Some legends are told, some turn to dust or to gold
But you will remember me, remember me for centuries
And just one mistake is all it will take
We'll go down in history, remember me for centuries

Hey ya, oh hey
Hey ya, remember me for centuries

We've been here forever
And here's the frozen proof
I could scream forever
We are the poisoned youth

Some legends are told, some turn to dust or to gold
But you will remember me, remember me for centuries
And just one mistake is all it will take
We'll go down in history, remember me for centuries

Hey ya, oh hey
We'll go down in history
Remember me for centuries",Pop/Rock,-0.07851851851851853,0,Group
642,2015,My Way,Fetty Wap / Monty,44,Fetty Wap,Monty,,,"Baby, won't you come my way?
Got something I want to say
Cannot keep you out my brain
But first off I'mma start by saying this, ay
All headshots if you think you could take my bitch, ay
And I'm too turnt, when I shoot, swear I won't miss, ay
Ba-Baby, won't you come my way?
Baby, won't you come my way?

Ba-ba-baby
This is something you should know, I don't ever chase no hoes
I spotted you, you had that glow, watch me pull out all this dough
Take you where you want to go, flexing on your ex, I know
He ain't ever take you out, barely even left your house
How dare that nigga run his mouth when his pockets in a drought
The last single he put out didn't even make it out
And he dumb as hell and I swear his ass don't think, ay
If he disrespect, two shots and I won't blink, ay
Never really cared what the fuck these niggas think, ay
I got deep pockets and I swear my shit's on sink, ay
And he mad as fuck, big ZooWap all she sing, ay
And he mad as fuck, big ZooWap in her dreams, ay
Well he mad as fuck when they sex she scream for me, ay
Big ZooWap what these niggas should be, ay

Baby, won't you come my way?
Got something I want to say
Cannot keep you out my brain
But first off I'mma start by saying this, ay
All headshots if you think you could take my bitch, ay
And I'm too turnt, when I shoot, swear I won't miss, ay
Ba-Baby, won't you come my way?
Baby, won't you come my way?

Baby girl, you can stay the night till the morn'
All this ice on my arm, what you like, what you want?
And I might put you on, bitch, it's mine can't you see?
And I rock seventeen, all these knots in my jeans
Me and Zoo turnin' up, got your boo in the cut
And she sue 'cause it's looking like the roof going up
Counting all this bread, I don't talk to feds
Try and take my bitch, you gonna take two to the head
'Cause baby you the baddest, all this money, I'mma cash it
And I'm swervin' all in traffic while I'm trapping out the mansion
And I'm moving through the tri-state
Do two-hundred on the highway
And I'm swerving in my i8, baby, you should come my way
Squad!",Contemporary R&B,-0.18044642857142856,0,Collab
643,2015,Take Your Time,Sam Hunt,45,Sam Hunt,,,,"I don't know if you were looking at me or not
You probably smile like that all the time
And I don't mean to bother you, but
I couldn't just walk by
And not say 'Hi'

And I know your name
'Cause everybody in here knows your name
And you're not looking for anything right now
So I don't wanna come on strong
But don't get me wrong
Your eyes are so intimidating
My heart is pounding but
It's just a conversation
No girl I'm not gonna waste it
You don't know me
I don't know you but I want to

I don't wanna steal your freedom
I don't wanna change your mind
I don't have to make you love me
I just want to take your time

I don't wanna wreck your Friday
I ain't gonna waste my lies
I don't have to take your heart
I just wanna take your time

And I know it starts with hello
And the next thing you know your trying to be nice
And some guys getting too close
Trying to pick you up
Trying to get you drunk

And I'm sure one of your friends is about to come over here
'Cause she's supposed to save you from random guys
That talk to much and wanna stay too long
It's the same old song and dance but I think you know it well

You coulda rolled your eyes
Told me to go to hell
Coulda walked away
But you're still here
And I'm still here
Come on let's see where it goes

I don't wanna steal your freedom
I don't wanna change your mind
I don't have to make you love me
I just wanna take your time

I don't have to meet your mother
We don't have to cross that line
I don't wanna steal your covers
I just wanna take your time

I don't wanna go home with you

I just wanna be alone with you

I don't wanna steal your freedom
I don't wanna change your mind
I don't have to make you love me
I just wanna take your time

I don't wanna blow your phone up
I just wanna blow your mind
I don't have to take your heart
I just wanna take your time

No, I ain't gotta call you baby
And I ain't gotta call you mine
I don't have to take your heart
I just wanna take your time",Country,0.08282738095238093,1,male
644,2015,Animals,Maroon 5,46,Maroon 5,,,,"Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals
Animals
Like animals, -mals...

Maybe you think that you can hide
I can smell your scent for miles
Just like animals
Animals
Like animals, -mals...

Baby, I'm...

So what you trying to do to me?
It's like we can't stop, we're enemies
But we get along when I'm inside you

You're like a drug that's killing me
I cut you out entirely
But I get so high when I'm inside you 

Yeah, you can start over, you can run free
You can find other fish in the sea
You can pretend it's meant to be
But you can't stay away from me

I can still hear you making that sound
Taking me down, rolling on the ground 
You can pretend that it was me, but no...

Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals
Animals
Like animals, -mals...

Maybe you think that you can hide
I can smell your scent for miles
Just like animals
Animals
Like animals, -mals...

Baby, I'm...

So if I run, it's not enough
You're still in my head, forever stuck
So you can do what you wanna do
I love your lies, I'll eat 'em up
But don't deny the animal
That comes alive when I'm inside you

Yeah, you can start over, you can run free
You can find other fish in the sea
You can pretend it's meant to be
But you can't stay away from me

I can still hear you making that sound
Taking me down, rolling on the ground 
You can pretend that it was me, but no...

Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals
Animals
Like animals, -mals...

Maybe you think that you can hide
I can smell your scent for miles
Just like animals
Animals
Like animals, -mals...

Baby, I'm...

Don't tell no lie, lie lie lie
You can't deny, -ny -ny -ny
The beast inside, -side -side -side
Yeah, yeah, yeah

No girl don't lie, lie lie lie
You can't deny, -ny -ny -ny
The beast inside, -side -side -side
Yeah, yeah, yeah

Just like animals
Animals 
Like animals, -mals...

Just like animals
Animals
Like animals, -mals...

Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals
Animals
Like animals, -mals...

Maybe you think that you can hide
I can smell your scent for miles
Just like animals
Animals
Like animals, -mals...

Baby, I'm...

Don't tell no lie, lie lie lie
You can't deny, -ny -ny -ny
The beast inside, -side -side -side
Yeah, yeah, yeah

No girl don't lie, lie lie lie
You can't deny, -ny -ny -ny
The beast inside, -side -side -side
Yeah, yeah, yeah",Pop,0.07507936507936507,1,Not Found
645,2015,I Don't F**k With You,Big Sean / E-40,47,Big Sean,E-40,,,"Big Sean
I don't fuck with you
You little stupid ass bitch, I ain't fuckin' with you
You little dumb ass bitch, I ain't fuckin' with you
I got a million trillion things I'd rather fuckin' do
Than to be fuckin' with you
Little stupid ass, I don't give a fuck
I don't give a fuck, I don't I don't I don't give a fuck
Bitch I don't give a fuck about you or anything that you do
Don't give a fuck about you or anything that you do

I heard you got a new man, I see you takin' a pic
Then you post it up, thinkin' that its makin' me sick
I see you calling, I be makin' it quick
I'mma answer that shit like: ""I don't fuck with you""
Bitch I got no feelings to go
I swear I had it up to here, I got no ceilings to go
I mean for real, fuck how you feel
Fuck your two cents if it ain't goin' towards the bill, yeah
And everyday I wake up celebratin' shit, why?
'Cause I just dodged a bullet from a crazy bitch
I stuck to my guns, that's what made me rich
That's what put me on, that's what got me here
That's what made me this
And everything that I do is my first name
These hoes chase bread, aw damn, she got a bird brain
Ain't nothin' but trill in me, aw man, silly me
I just bought a crib, three stories, that bitch a trilogy
And you know I'm rollin' weed that's fuckin' up the ozone
I got a bitch that text me, she ain't got no clothes on
And then another one text, then your ass next
And I'm gonna text your ass back like

I don't fuck with you
You little stupid ass bitch, I ain't fuckin' with you
You little dumb ass bitch, I ain't fuckin' with you
I got a million trillion things I'd rather fuckin' do
Than to be fuckin' with you
Little stupid ass, I don't give a fuck
I don't give a fuck, I don't I don't I don't give a fuck
Bitch I don't give a fuck about you or anything that you do
Don't give a fuck about you or anything that you do

E-40
Got a million things on my mind
Executive deals online, limited amount of time
Chasin' these dollar signs and you ain't on your grind
You might be able to find me up in the MGM casino in the D
Fuckin' off fetti I coulda put on property
From the Bay to the Murder Mitten, my niggas put murder missions
She choose him, that's her decision, free my niggas in prison
On the phone with a bitch who can't do shit
For a pimp but make a nigga hella rich
Got a blunt in my dental, goin' H.A.M in a rental
On my way, to Sacramento, late night, Arsenio
I'm never sentimental, go hard or go home, listen
Barely Harley, I'm chromeless, you might end up domeless
I bet you she into me, her cheddar, she givin' me
I make a bitch stand outside forever like the Statue of Liberty
Rest in pimp, Pimp C, underground king of the South
I raise my Styrofoam up, and pour some drank in my mouth
Why you always coming around with bad news?
Say you want me to win, but hope I lose
Ass never rock with other niggas in the crew
But them niggas cool, it's just that

Big Sean
I don't fuck with you
You little stupid ass bitch, I ain't fuckin' with you
You little dumb ass bitch, I ain't fuckin' with you
I got a million trillion things I'd rather fuckin' do
Than to be fuckin' with you
Little stupid ass, I don't give a fuck
I don't give a fuck, I don't I don't I don't give a fuck
Bitch I don't give a fuck about you or anything that you do
Don't give a fuck about you or anything that you do

I got a new chick that I gotta thank God for
I got a new whip that I gotta thank a lot for
Yeah I got a lot but want a lot more
Yeah we in the buildin' but I'm tryna take it to the top floor
I swear I hear some new bullshit every day I'm wakin' up
It seems like nowadays everybody breakin' up
That shit can break you down if you lose a good girl
I guess you need a bad bitch to come around and make it up
I guess drama makes for the best content
Everything got a bad side, even a conscience
Now you're drinkin' till your unconscious
Feel me when you get a fine bitch
Just don't forget to read the fine print
Life got me meditatin' like I'm in the Himalayas
Keep it G with the L lit on me like the elevator
Yeah I know that karma's too real so I hope you doin' cool
But still stupid ass bitch I ain't fuckin' with you
Little stupid ass I ain't fuckin' with
I ain't fuckin', I ain't I ain't fuckin' with you
I ain't fuckin' with you",Hip Hop/Rap,-0.18585250343971274,0,Collab
646,2015,B**** Better Have My Money,Rihanna,48,Rihanna,,,,Not Found,Pop,0.0,0,female
647,2015,Flex (Ooh Ooh Ooh),Rich Homie Quan,49,Rich Homie Quan,,,,Not Found,Hip Hop/Rap,0.0,0,male
648,2015,Nasty Freestyle,T-Wayne,50,T-Wayne,,,,"Ya say Roro, you know what it is, right?
Who is Rickey Wayne; the mixtape,
Ya feel me?

First, let me hop out motherfucking Porsche
I don't want her if that ass don't sit like a horse
I be balling on these niggas, got me feeling like sports
Dash got so much wood I could build me a fort

Had too many things I ain't done yet
I'm the king of this shit
Ground by the toilet
I'm just barley getting started

You already upset
Got a tiger as a pet
I just took 'em to the vet
Homie I been making hits
I'm the rap Derek Jeter
Let your bitch ride on me
Like she was on a feeder

If the pussy ain't good
Then I prolly won't feed her
Lil' homie, you can keep her
Because I really don't need her
I ain't worried 'bout a feature

Homeboy, you's a pee on
Toilet seat ass nigga, man, I swear you getting peed on
Man, my jewelry so cold I walk around with the heat on
My alarm clock set just in case they wanna sleep on
Ya dig...

I'm a full time playa
Hopping out of alligators
Sipping lean and now a later
Homie, I'll annihilate you
If you think you wanna battle
You gone have to pay some paper
I just hit her and I quit her
I will never ever date her

It's a shame how I'm barely getting love in this city
Travel to another town, you can bet they fucking with me
I be killin' this shit
Pray to God they forgive me
They say when you blow up, don't forget me
Man...

I been on fire
Ever since they made the lighter
My boys a pull up on yo' homie, I ain't talking diapers
Walk into your function on point; I'm like a sniper
My girl bad like Dej Loaf so don't try her

Flexing all on ya other homeboys, you ain't ready
10 times sharper than Michael Myer's machete
Been about the money, I ain't worried 'bout the fame
'Bout to have everybody saying ""Who is Rickey Wayne?""
That's me",Hip Hop/Rap,0.03916040100250629,1,male
649,2015,Only,Nicki Minaj / Drake/ Lil Wayne / Chris Brown,51,Nicki Minaj,Drake,Lil Wayne,Chris Brown,"Nicki Minaj
Yo! I never fucked Wayne, I never fucked Drake
On my life man, fuck's sake
If I did, I'd ménage with 'em
And let 'em eat my ass like a cupcake
My man full, he just ate
I don't duck nobody but tape
Yeah, that was a setup
For a punchline on duct tape

Worried 'bout if my butt's fake
Worry 'bout y'all niggas, us straight
These girls are my sons
John & Kate Plus Eight
When I walk in, sit up straight
I don't give a fuck if I was late
Dinner with my man on a G5
Is my idea of a update

Hut-hut one, hut-hut two
Big titties, big butt too
Fuck with them real niggas
Who don't tell niggas what they up to
Had to show bitches where the top is
Ring finger where the rock is
Deez hoes couldn't test me
Even if their name was Pop Quiz

Bad bitches who I fuck with
Mad bitches we don't fuck with
I don't fuck with them chickens
Unless they last name is Cutlet
Let it soak in, like seasonin'
And tell 'em bitches blow me, Lance Stephenson

Chris Brown
Raise every bottle and cup in the sky
Sparks in the air like the Fourth of July
Nothing but bad bitches in here tonight
Oh, if you lame and you know it be quiet
Nothing but real niggas only, bad bitches only
Rich niggas only, independent bitches only
Boss niggas only, thick bitches only
I got my real niggas here by my side, only

Drake
I never fucked Nicki, 'cause she got a man
But when that's over, then I'm first in line
And the other day in her Maybach
I thought god damn, this is the perfect time
We had just come from that video
You know, LA traffic, how the city slow
She was sitting down on that big butt
But I was still staring at the titties do'

Yeah, low key it may be high key
I been peeped that you like me, you know
Who the fuck you really wanna be with besides me? I mean
It doesn't take much for us to do this shit quietly, I mean
She say I'm obsessed with thick women and I agree

Yeah, that's right, I like my girls BBW, yeah
Type to wanna suck you dry and then eat some lunch wit you
Yeah, so thick that everybody else in the room is so uncomfortable
Ass on Houston, Texas, but the face look just like Clair Huxtable

Oh, yeah, you the man in the city when the mayor fuck wit you
The NBA players fuck wit you, the bad ass bitches doing makeup and hair fuck wit you
Oh, that's 'cause I believe in something, I stand for it
And Nicki, if you ever tryna fuck, just give me the heads-up so I can plan for it

(Pinkprint, aye)

Chris Brown
Raise every bottle and cup in the sky
Sparks in the air like the Fourth of July
Nothing but bad bitches in here tonight
Oh, if you lame and you know it be quiet
Nothing but real niggas only, bad bitches only
Rich niggas only, independent bitches only
Boss niggas only, thick bitches only
I got my real niggas here by my side, only

Lil Wayne
I never fucked Nick and that's fucked up
If I did fuck she'd be fucked up
Whoever is hittin' ain't hittin' it right
'Cause she actin' like, she need dick in her life
That's another story, I'm no story teller
I piss greatness, like goldish yellow
All my goons, so overzealous
I'm from Hollygrove; the holy Mecca

Calendar say I got money for days
I squirm and I shake, but I'm stuck in my ways
My girlfriend will beat a bitch up if she wave
They bet not fuck with her surfboard, surfboard
My eyes are so bright, I take cover for shade
Don't have my money? Take mother's instead
You got the hiccups, you swallowed the truth
Then I make you burp, boy, treat beef like sirloin

I'm talkin' 'bout runnin' in houses with army guns
So think about your son and daughter rooms
Got two hoes with me, messed up, they got smaller guns
Ain't thinkin' 'bout your son and daughter rooms
This shit is crazy, my nigga, I mean brazy, my nigga
That money talk, I just rephrase it, my nigga
Blood gang, take the B out, behavior, my nigga

For reals, if you mouth off I blow your face off
I mean pop-pop-pop then I take off
Nigga now you see me, nigga now you don't
Like Jamie Foxx acting like Ray Charles
16 in a clip, one in the chamber
17 Ward bully with 17 bullets
My story is how I went from ""poor me""
To ""please pour me a drink and celebrate with me""

Chris Brown
Raise every bottle and cup in the sky
Sparks in the air like the Fourth of July
Nothing but bad bitches in here tonight
Oh, if you lame and you know it be quiet
Nothing but real niggas only, bad bitches only
Rich niggas only, independent bitches only
Boss niggas only, thick bitches only
I got my real niggas here by my side, only",Hip Hop/Rap,-0.10584029518240044,0,Collab
650,2015,Elastic Heart,Sia,52,Sia,,,,"And another one bites the dust
Oh, why can I not conquer love?
And I might have thought that we were one
Wanted to fight this war without weapons

And I wanted it, I wanted it bad
But there were so many red flags
Now another one bites the dust
Yeah, let's be clear, I'll trust no one

You did not break me
I'm still fighting for peace

I've got thick skin and an elastic heart
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard
I may snap and I move fast
But you won't see me fall apart
'Cause I've got an elastic heart

I've got an elastic heart
Yeah, I've got an elastic heart

And I will stay up through the night
Yeah, let's be clear, won't close my eyes
And I know that I can survive
I'll walk through fire to save my life

And I want it, I want my life so bad
I'm doing everything I can
Then another one bites the dust
It's hard to lose a chosen one

You did not break me
I'm still fighting for peace

I've got thick skin and an elastic heart
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard
I may snap and I move fast
But you won't see me fall apart
'Cause I've got an elastic heart

I've got thick skin and an elastic heart
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard
I may snap and I move fast
But you won't see me fall apart
'Cause I've got an elastic heart

I've got thick skin and an elastic heart
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard
I may snap and I move fast
But you won't see me fall apart
'Cause I've got an elastic heart

I've got an elastic heart",Electronic,-0.10659722222222222,0,female
651,2015,Cool For The Summer,Demi Lovato,53,Demi Lovato,,,,"Tell me what you want, what you like
It's okay
I'm a little curious too
Tell me if it's wrong
If it's right, I don't care
I can keep a secret, can you?

Got my mind on your body
And your body on my mind
Got a taste for the cherry
I just need to take a bite
Don't tell your mother
Kiss one another
Die for each other
We're cool for the summer
(Ha)

Ooh
Ooh

Take me down into your paradise
Don't be scared 'cause I'm your body type
Just something that we wanna try
'Cause you and I
We're cool for the summer

Tell me if I won
If I did, what's my prize?
I just wanna play with you, too
Even if they judge
Fuck it all, I'll do the time
I just wanna have some fun with you

Got my mind on your body
And your body on my mind
Got a taste for the cherry
I just need to take a bite
Don't tell your mother
Kiss one another
Die for each other
We're cool for the summer
(Ha)

Ooh
Ooh

Take me down into your paradise
Don't be scared 'cause I'm your body type
Just something that we wanna try
'Cause you and I
We're cool for the summer
(Ha)
We're cool for the summer
We're cool for the summer

Shhhh
Don't tell your mother

Got my mind on your body
And your body on my mind
Got a taste for the cherry
I just need to take a bite

(Take me down)
Take me down into your paradise
(Don't, be, scared)
Don't be scared 'cause I'm your body type
Just something that we wanna try
(Wanna try)
'Cause you and I
(You and I)
We're cool for the summer

(Take me down) We're cool for the summer
(Don't be scared) 'Cause I'm your body type
(Just something) Just something that we wanna try
'Cause you and I
(You and I)
We're cool for the summer
(Ha)
Ooh
We're cool for the summer",Pop,0.0788174603174603,1,female
652,2015,Renegades,X Ambassadors,54,X Ambassadors,,,,"Run away-ay with me
Lost souls in revelry (hey)
Running wild and running free
Two kids, you and me (hey)

And I say hey, hey hey hey
Living like we're renegades
Hey hey hey, hey hey hey
Living like we're renegades
Renegades, renegades

Long live the pioneers
Rebels and mutineers (hey)
Go forth and have no fear
Come close and lend an ear (hey)

And I say hey, hey hey hey
Living like we're renegades
Hey hey hey, hey hey hey
Living like we're renegades
Renegades, renegades

All hail the underdogs
All hail the new kids
All hail the outlaws
Spielbergs and Kubricks

It's our time to make a move
It's our time to make amends
It's our time to break the rules
Let's begin

And I say, hey, hey hey hey
Living like we're renegades
Hey hey hey, hey hey hey
Leaving like we're renegades
Renegades, renegades",Not Found,0.14454545454545456,1,Group
653,2015,I Don't Mind,Usher / Juicy J,55,Usher,Juicy J,,,"Yeah
Usher, baby
This is for the A

Shawty, I don't mind If you dance on a pole
That don't make you a ho
Shawty, I don't mind when you work until three
If you're leaving with me
Go make that money, money, money
Your money, money, money
'Cause I know how it is, go and handle your biz
And get that money, money, money
Your money, money, money
You can take off your clothes
Long as you coming home, girl, I don't mind

The ballers in here tonight, they gon' buy a hundred bottles
As soon as you shake it I know they gon' make it colossal in here
'Cause Shawty you thinkin' them tricks that you do with your body
Got all of these niggas they crowding around you like they seen Beyonce in here
You want your own and you need your own, baby, who am I to judge?
'Cause how could I ever trip about it when I met you in the club?
I make enough for the both of us, but you dance anyway
You know I was raised in the A

Shawty, I don't mind If you dance on a pole
That don't make you a ho
Shawty, I don't mind when you work until three
If you're leaving with me
Go make that money, money, money
Your money, money, money
'Cause I know how it is, go and handle your biz
And get that money, money, money
Your money, money, money
You can take off your clothes
Long as you coming home, girl, I don't mind

When you get off of work I'll be ready to go in the 'Rari
And when we get home we'll have us our own private party in here
So I don't worry at all about the things they do or say
I love you anyway
You can twerk it while in a split, you racking up them tips
Your body rock and your booty poppin', I'm proud to call you my bitch
They be lookin', but they can't touch you, Shawty, I'm the only one to get it
So just go ahead and keep doing what you do, do it

Shawty, I don't mind If you dance on a pole
That don't make you a ho
Shawty, I don't mind when you work until three
If you're leaving with me
Go make that money, money, money
Your money, money, money
'Cause I know how it is, go and handle your biz
And get that money, money, money
Your money, money, money
You can take off your clothes
Long as you coming home, girl, I don't mind

I'm just tryna cut her up, tryna bust a nut
Tryna take somebody bitch, turn her to a slut
Tryna fill my cup, tryna live it up
Throw some hundreds on that ass, walk her out the club
(Yeah, ho) Lap dance for the first date
Bet I threw a few bands, that's third base
It's okay if you work late, we can still party like it's your birthday
We can still party hard in your birthday suit
Knock that pussy out the park like my name Babe Ruth
Shawty she just want a tip, I just want to see her strip
If you fuck me like you love me Shawty you might get rich
Have her own cake, her own place, blow her own gas, no role'
When we in the bed she like to roleplay, tell her friend to join in both ways

Shawty, I don't mind If you dance on a pole
That don't make you a ho
Shawty, I don't mind when you work until three
If you're leaving with me
Go make that money, money, money
Your money, money, money
'Cause I know how it is, go and handle your biz
And get that money, money, money
Your money, money, money
You can take off your clothes
Long as you coming home, girl, I don't mind",Not Found,0.1774891774891775,1,Collab
654,2015,Love Me Harder,Ariana Grande / The Weeknd,56,Ariana Grande,The Weeknd,,,"Ariana Grande:
Tell me something I need to know,
Then take my breath and never let it go...
If you just let me invade your space,
I'll take the pleasure, take it with the pain...

And if in the moment, I bite my lip,
Baby, in that moment, you'll know this is
Something bigger than us and beyond bliss;
Give me a reason to believe in...

'Cause if you want to keep me,
You gotta, gotta, gotta, gotta, got to love me harder;
And if you really need me,
You gotta, gotta, gotta, gotta, got to love me harder... (Baby, love me harder...)

(Hoo, hoo, hoo, hoo...) Love me, love me, love me...
(Hoo, hoo, hoo, hoo...) Harder, harder, harder...

The Weeknd:
I know your motives, and you know mine;
The ones that love me, I tend to leave behind...
If you know about me, and choose to stay,
Then take this pleasure, and take it with the pain...

And if in the moment, you bite your lip,
When I get you moanin', you know it's real...
Can you feel the pressure between your hips?
I'll make you feel like the first time...

Ariana Grande, [The Weeknd]:
'Cause if you want to keep me,
You gotta, gotta, gotta, gotta, got to love me harder; [I'ma love you harder...]
And if you really need me,
You gotta, gotta, gotta, gotta, got to love me harder... [Baby, love me harder...]

(Hoo, hoo, hoo, hoo...) Love me, love me, love me...
(Hoo, hoo, hoo, hoo...) Harder, harder, harder...
(Hoo, hoo, hoo, hoo...) Love me, love me, love me...
(Hoo, hoo, hoo, hoo...) Harder, harder, harder... (Gotta love me harder...)

The Weeknd: So what do I do if I can't figure it out?
Ariana Grande: You got to try, try, try again, yeah...
The Weeknd: So what do I do if I can't figure it out?
Ariana Grande: I'm gonna leave, leave, leave again...

Ariana Grande, [The Weeknd]:
'Cause if you want to keep me,
You gotta, gotta, gotta, gotta, got to love me harder;
(I'ma love you, love you, love you...)
And if you really need me,
You gotta, gotta, gotta, gotta, got to love me harder...
(Love me, love me, baby...)
'Cause if you wanna keep me,
You gotta, gotta, gotta, gotta, got to love me harder;
[Gotta, gotta, gotta...] (Love me harder... love me harder...)
And if you really need me,
You gotta, gotta, gotta, gotta, got to love me harder...
[I'ma do it, do it, do it... I'ma love you harder...] (Whoo!)

(Hoo, hoo, hoo, hoo...) Love me, love me, love me... [Love you...]
(Hoo, hoo, hoo, hoo...) Harder, harder, harder...
(Oh, baby, love me, love me, baby,) (Hoo, hoo, hoo, hoo...) Love me, love me, love me...
(Just a little bit harder, harder, baby...) (Hoo, hoo, hoo, hoo...) Harder, harder, harder...",Electronic,0.21171875,1,Collab
655,2015,Wildest Dreams,Taylor Swift,57,Taylor Swift,,,,"He said, ""Let's get out of this town""
Drive out of the city, away from the crowds""
I thought heaven can't help me now
Nothing lasts forever

But this is gonna take me down
He's so tall and handsome as hell
He's so bad but he does it so well
I can see the end as it begins
My one condition is...

Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams...
Wildest dreams...

I said, ""No one has to know what we do""
His hands are in my hair, his clothes are in my room
And his voice is a familiar sound
Nothing lasts forever

But this is getting good now
He's so tall and handsome as hell
He's so bad but he does it so well
And when we've had our very last kiss
My last request is...

Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams...
Wildest dreams...

You'll see me in hindsight
Tangled up with you all night
Burning it down
Someday when you leave me
I'll bet these memories
Follow you around

You'll see me in hindsight
Tangled up with you all night
Burning it down (down)
Someday when you leave me
I'll bet these memories
Follow you around (follow you around)

Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just pretend...

Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
(Just pretend, just pretend)
Wildest dreams...
In your wildest dreams...

(Even if it's just in your)
Wildest dreams...
In your wildest dreams...",Pop,0.13584656084656085,1,female
656,2015,Stay With Me,Sam Smith,58,Sam Smith,,,,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?",Pop,-0.030000000000000006,0,other
657,2015,You Know You Like It,DJ Snake / AlunaGeorge,59,DJ Snake,AlunaGeorge,,,"Some people want me to be heads or tails
I say no way, try again, another day
I should be happy, not tipping the scales
I just won't play letting my life get away

I'm no fool, no, I'm not a follower
I don't take things as they come
If they bring me down
Life can be cruel if you're a dreamer
I just wanna have some fun
Don't tell me what can't be done

You know you like it but it drives you insane
You know you like it but it drives you insane
You know you like it but you're scared of the shame
What you want, what you gonna do?
You know you like it but it drives you insane
Follow me cause you know that you wanna feel the same
You know you like it but it drives you insane
What you want, what you gonna do?

If you wanna train me like an animal
Better keep your eye on my every move
There's no need to be, so damn cruel
Baby you got nothing to prove

I'm no fool, no, I'm not a follower
I don't take things as they come
If they bring me down
Life can be cruel if you're a dreamer
I just wanna have some fun
Don't tell me what can't be done

You know you like it but it drives you insane
You know you like it but it drives you insane
You know you like it but you're scared of the shame
What you want, what you gonna do?
You know you like it but it drives you insane
Follow me cause you know that you wanna feel the same
You know you like it but it drives you insane
What you want, what you gonna do?",Not Found,-0.4953216374269006,0,Collab
658,2015,Uma Thurman,Fall Out Boy,60,Fall Out Boy,,,,"I can move mountains
I can work a miracle, work a miracle
Oh, oh, I'll keep you like an oath
May nothing but death do us part

She wants to dance like Uma Thurman
Bury me till I confess
She wants to dance like Uma Thurman
And I can't get you out of my head

The stench, the stench, of summer sex
And CK Eternity, oh hell yes
Divide me down to the smallest I can be
Put your, put your v-v-venom in me

I can move mountains
I can work a miracle, work a miracle
Oh, oh, I'll keep you like an oath
May nothing but death do us part

She wants to dance like Uma Thurman
Bury me till I confess
She wants to dance like Uma Thurman
And I can't get you out of my head

The blood, the blood, the blood of the lamb
Is worth two lions, but here I am
And I slept in last night's clothes and tomorrow's dreams
But they're not quite what they seem

I can move mountains
I can work a miracle, work a miracle
Oh, oh, I'll keep you like an oath
May nothing but death do us part

You'll find your way
And may death find you alive
Take me down the line
In Gem City we turn the tide
You'll find your way
And may death find you alive
Take me down the line
In Gem City we turn the tide

She wants to dance like Uma Thurman
Bury me till I confess
She wants to dance like Uma Thurman
And I can't get you out of my head

I can move mountains
I can work a miracle, work a miracle
Oh, oh, I'll keep you like an oath
May nothing but death do us part

I can move mountains
I can work a miracle, work a miracle
Oh, oh, I'll keep you like an oath
May nothing but death do us part",Pop/Rock,0.09487179487179488,1,Group
659,2015,7/11,Beyonce,61,Beyonce,,,,Not Found,Pop,0.0,0,female
